time,x,y,z
0,150.0,20,200.0
1,150.5,20,200.1
2,151.0,20,200.2
3,151.5,20,200.3
4,152.0,20,200.4
5,152.5,20,200.5
6,153.0,20,200.6
7,153.5,20,200.7
8,154.0,20,200.8
9,154.5,20,200.9
10,155.0,20,201.0
11,155.5,20,201.1
12,156.0,20,201.2
13,156.5,20,201.3
14,157.0,20,201.4
15,157.5,20,201.5
16,158.0,20,201.6
17,158.5,20,201.7
18,159.0,20,201.8
19,159.5,20,201.9
20,160.0,20,202.0
21,160.5,20,202.1
22,161.0,20,202.2
23,161.5,20,202.3
24,162.0,20,202.4
25,162.5,20,202.5
26,163.0,20,202.6
27,163.5,20,202.7
28,164.0,20,202.8
29,164.5,20,202.9
30,165.0,20,203.0
31,165.5,20,203.1
32,166.0,20,203.2
33,166.5,20,203.3
34,167.0,20,203.4
35,167.5,20,203.5
36,168.0,20,203.6
37,168.5,20,203.7
38,169.0,20,203.8
39,169.5,20,203.9
40,170.0,20,204.0
41,170.5,20,204.1
42,171.0,20,204.2
43,171.5,20,204.3
44,172.0,20,204.4
45,172.5,20,204.5
46,173.0,20,204.6
47,173.5,20,204.7
48,174.0,20,204.8
49,174.5,20,204.9
50,175.0,20,205.0
51,175.5,20,205.1
52,176.0,20,205.2
53,176.5,20,205.3
54,177.0,20,205.4
55,177.5,20,205.5
56,178.0,20,205.6
57,178.5,20,205.7
58,179.0,20,205.8
59,179.5,20,205.9
60,180.0,20,206.0
61,180.5,20,206.1
62,181.0,20,206.2
63,181.5,20,206.3
64,182.0,20,206.4
65,182.5,20,206.5
66,183.0,20,206.6
67,183.5,20,206.7
68,184.0,20,206.8
69,184.5,20,206.9
70,185.0,20,207.0
71,185.5,20,207.1
72,186.0,20,207.2
73,186.5,20,207.3
74,187.0,20,207.4
75,187.5,20,207.5
76,188.0,20,207.6
77,188.5,20,207.7
78,189.0,20,207.8
79,189.5,20,207.9
80,190.0,20,208.0
81,190.5,20,208.1
82,191.0,20,208.2
83,191.5,20,208.3
84,192.0,20,208.4
85,192.5,20,208.5
86,193.0,20,208.6
87,193.5,20,208.7
88,194.0,20,208.8
89,194.5,20,208.9
90,195.0,20,209.0
91,195.5,20,209.1
92,196.0,20,209.2
93,196.5,20,209.3
94,197.0,20,209.4
95,197.5,20,209.5
96,198.0,20,209.6
97,198.5,20,209.7
98,199.0,20,209.8
99,199.5,20,209.9
