time,uav_id,x,y,z
0,0,100.0,10,200.0
0,1,150.0,20,200.0
0,2,200.0,30,200.0
1,0,100.5,10,200.1
1,1,150.5,20,200.1
1,2,200.5,30,200.1
2,0,101.0,10,200.2
2,1,151.0,20,200.2
2,2,201.0,30,200.2
3,0,101.5,10,200.3
3,1,151.5,20,200.3
3,2,201.5,30,200.3
4,0,102.0,10,200.4
4,1,152.0,20,200.4
4,2,202.0,30,200.4
5,0,102.5,10,200.5
5,1,152.5,20,200.5
5,2,202.5,30,200.5
6,0,103.0,10,200.6
6,1,153.0,20,200.6
6,2,203.0,30,200.6
7,0,103.5,10,200.7
7,1,153.5,20,200.7
7,2,203.5,30,200.7
8,0,104.0,10,200.8
8,1,154.0,20,200.8
8,2,204.0,30,200.8
9,0,104.5,10,200.9
9,1,154.5,20,200.9
9,2,204.5,30,200.9
10,0,105.0,10,201.0
10,1,155.0,20,201.0
10,2,205.0,30,201.0
11,0,105.5,10,201.1
11,1,155.5,20,201.1
11,2,205.5,30,201.1
12,0,106.0,10,201.2
12,1,156.0,20,201.2
12,2,206.0,30,201.2
13,0,106.5,10,201.3
13,1,156.5,20,201.3
13,2,206.5,30,201.3
14,0,107.0,10,201.4
14,1,157.0,20,201.4
14,2,207.0,30,201.4
15,0,107.5,10,201.5
15,1,157.5,20,201.5
15,2,207.5,30,201.5
16,0,108.0,10,201.6
16,1,158.0,20,201.6
16,2,208.0,30,201.6
17,0,108.5,10,201.7
17,1,158.5,20,201.7
17,2,208.5,30,201.7
18,0,109.0,10,201.8
18,1,159.0,20,201.8
18,2,209.0,30,201.8
19,0,109.5,10,201.9
19,1,159.5,20,201.9
19,2,209.5,30,201.9
20,0,110.0,10,202.0
20,1,160.0,20,202.0
20,2,210.0,30,202.0
21,0,110.5,10,202.1
21,1,160.5,20,202.1
21,2,210.5,30,202.1
22,0,111.0,10,202.2
22,1,161.0,20,202.2
22,2,211.0,30,202.2
23,0,111.5,10,202.3
23,1,161.5,20,202.3
23,2,211.5,30,202.3
24,0,112.0,10,202.4
24,1,162.0,20,202.4
24,2,212.0,30,202.4
25,0,112.5,10,202.5
25,1,162.5,20,202.5
25,2,212.5,30,202.5
26,0,113.0,10,202.6
26,1,163.0,20,202.6
26,2,213.0,30,202.6
27,0,113.5,10,202.7
27,1,163.5,20,202.7
27,2,213.5,30,202.7
28,0,114.0,10,202.8
28,1,164.0,20,202.8
28,2,214.0,30,202.8
29,0,114.5,10,202.9
29,1,164.5,20,202.9
29,2,214.5,30,202.9
